"","","","RDM-Absorb","","DNDM-Absorb","","RDM-k-Absorb","","DNDM-k-Absorb"
"Dataset","Steps","","","","","","","",""
"","","BLEU","Time(s)","BLEU","Time(s)","BLEU","Time(s)","BLEU","Time(s)"
"","25","3158","1163","3243","672","3450","1089","3414","673"
"","50","3180","2272","3263","959","3458","2139","3434","962"
"IWSLT14","","","","","","","","",""
"","1000","3191","41974","3293","1611","3460","42059","3456","1623"
"","∞","-","-","3303","1746","-","-","3465","1807"
"","25","2497","1164","2579","681","2750","1075","2718","680"
"","50","2495","2311","2610","1020","2773","2552","2766","1025"
"WMT14","","","","","","","","",""
"","1000","2522","41694","2643","1783","2775","41674","2782","1791"
"","∞","-","-","2650","1801","-","-","2750","1812"
"","25","3286","755","3320","412","3392","699","3396","414"
"","50","3293","1484","3330","625","3410","1661","3420","627"
"WMT16","","","","","","","","",""
"","1000","3325","29517","3360","1213","3444","27187","3438","1227"
"","∞","-","-","3342","1218","-","-","3441","1219"
