"","","","RDM-Multi","","DNDM-Multi","","RDM-k-Multi","","DNDM-k-Multi"
"Dataset","Steps","","","","","","","",""
"","","BLEU","Time(s)","BLEU","Time(s)","BLEU","Time(s)","BLEU","Time(s)"
"","25","3126","1669","3095","529","3282","1619","3230","526"
"","50","3150","3286","3145","839","3282","3212","3280","932"
"IWSLT14","","","","","","","","",""
"","1000","3169","63089","3182","1913","3264","63213","3315","1915"
"","∞","-","-","3189","2252","-","-","3344","2281"
"","25","2525","2373","2501","907","2603","2309","2598","905"
"","50","2575","4661","2533","1384","2614","5002","2637","1383"
"WMT14","","","","","","","","",""
"","1000","2566","89967","2571","2654","2582","89917","2688","2655"
"","∞","-","-","2479","3075","-","-","2639","3073"
"","25","3229","1452","3197","364","3312","1435","3294","364"
"","50","3253","2861","3250","632","3341","3124","3326","627"
"WMT16","","","","","","","","",""
"","1000","3263","55889","3286","1714","3367","56010","3379","1712"
"","∞","-","-","3291","1964","-","-","3386","1963"
