"","","","C-DNDM-Multi","","C-DNDM-Absorb"
"Dataset","Stepscheme","","","",""
"","","default","top-k","default","top-k"
"","continuous","","","3280","3452"
"IWSLT14","","3207","3357","",""
"","continuous","","3371","","3436"
"WMT16","","3348","","3350",""
