"Mineral","Plg","Plg","Plg","Plg","Plg","Plg","Plg","Plg","Plg","Plg","Plg","Plg","Plg","Plg","Plg","Plg","Plg","Plg"
"Sample","Sr11","D10","Er2","Sr2","Ah2","Ah2","Id2a","Is5","Ed14","E20","Id17+","Id17+","Is4+","Is4+","Is1a+(p)","Is1a+(p)","Id1c+","Id1c+"
"Rocktype","gr","gr","grd","grd","tn","tn","mz","mz","dio","dio","gbbdio","gbbdio","dio","dio","dio","dio","mzdio","mzdio"
"Area","Rim","Core","Rim","Core","Rim","Core","Rim","Core","Rim","Core","Core","Rim","Core","Rim","Rim","Core","Core","Rim"
"SiO2","5714","5230","5588","5412","6198","5688","5426","5304","5537","5421","5503","6158","5955","6210","5773","5148","5339","5931"
"Al2O3","2631","3023","2777","2885","2399","2657","2833","2883","2707","2883","2795","2426","2564","2424","2662","3073","2973","2505"
"Fe2O3","023","060","045","046","026","030","035","061","048","034","041","021","037","030","056","057","063","022"
"CaO","865","1261","993","1127","553","833","1082","1223","983","1124","1033","529","723","538","835","1304","1132","640"
"Na2O","640","405","569","478","800","658","528","446","578","506","540","825","734","814","657","383","488","799"
"K2O","029","023","052","026","063","036","031","033","042","016","033","055","033","073","032","025","007","018"
"Total","9902","10002","10023","9974","10043","9901","9935","9950","9918","9985","9943","10014","10045","10089","10014","9991","10002","9916"
"","Cationsonthebasisof8oxygens","","","","","","","","","","","","","","","","",""
"Si","2586","2373","2513","2451","2743","2576","2466","2420","2522","2453","2495","2732","2648","2737","2584","2343","2413","2665"
"Al","1403","1617","1472","1540","1251","1418","1517","1550","1453","1537","1494","1269","1344","1259","1404","1648","1583","1327"
"Fe3+","0008","0020","0015","0016","0009","0010","0012","0021","0016","0012","0014","0007","0012","0010","0019","0020","0022","0008"
"Ca","0420","0613","0478","0547","0262","0404","0527","0598","0480","0545","0502","0251","0344","0254","0400","0636","0548","0308"
"Na","0562","0356","0496","0419","0686","0578","0465","0394","0511","0443","0474","0710","0633","0696","0570","0338","0428","0696"
"K","0017","0014","0030","0015","0036","0021","0018","0019","0025","0009","0019","0031","0018","0041","0018","0015","0004","0010"
"Total","4996","4993","5004","4988","4987","5007","5005","5002","5007","4999","4998","5000","4999","4997","4995","5000","4998","5014"
"An","42","62","48","55","27","40","52","59","47","55","50","25","34","26","41","63","56","30"
"Ab","56","36","49","43","70","58","46","39","51","44","48","72","64","71","57","35","43","69"
"Or","2","2","3","2","3","2","2","2","2","1","2","3","2","3","2","2","1","1"
