"Sample","Rock type","Pluton","Mineral","Weight","[mgr]","K [%] a
(±1 Φ)","40Ar⁎ [nl/g]","(±1 Φ)","40Ar⁎ [%]","t[Ma]
(±1 Φ) b"
"Id2a","mz","Dölek","bt","70.33","","7.80 ± 0.08","13.26 ± 0.23","","84.4","42.9 ± 1.81"
"D10","gr","Dölek","bt","72.50","","6.70 ± 0.07","11.47 ± 0.21","","84.2","43.5 ± 1.82"
"Ah2","tn","Sarıçiçek","bt","68.62","","7.00 ± 0.07","12.15 ± 0.28","","80.2","44.1 ± 2.22"
"Is5","mz","Sarıçiçek","bt","70.40","","5.15 ± 0.05","8.64 ± 0.44","","64.4","42.7 ± 2.21"
