"Sample","[Rb]ppm","[Sr]ppm","87Rb/86Sr","87Sr/86Sr","2σm","(43Ma)ISr","εSr(T)","(43Ma)","[Sm]ppm","[Nd]ppm","147Sm/144Nd","143Nd/144Nd","2σm","εNd(0)","εNd(T)43Ma","fSm/Nd","TDM(Ga)"
"Hostrocks","","","","","","","","","","","","","","","","",""
"Sr11","13840","20270","19563","0706679","12","070548","1500","","4212","2214","01152","0512587","13","−10","−06","−041","087"
"Er2","2117","35920","01691","0705558","10","070545","1470","","6047","3066","01194","0512592","13","−09","−05","−039","090"
"Sr38","9592","27460","10033","0705852","13","070524","1160","","5032","2409","01265","0512594","13","−09","−05","−036","097"
"Id2a","12420","34860","10264","0705446","13","070482","567","","4779","2276","01271","0512658","13","04","08","−035","087"
"Ed12","5090","41280","03596","0705321","13","070510","959","","4355","1965","01341","0512663","12","05","08","−032","093"
"Id5","4096","38510","06765","0705419","12","070501","848","","4769","2344","01232","0512653","10","03","07","−037","084"
"Id17","8100","37520","06197","0705531","12","070515","1039","","4200","2001","01271","0512611","13","−05","−01","−035","095"
"Id1c","6464","29340","06304","0705550","14","070516","1065","","4186","2104","01204","0512619","11","−04","00","−039","087"
"Is4","8619","31210","07929","0705684","8","070520","1105","","4752","2253","01277","0512599","12","−08","−04","−035","098"
"MMEs","","","","","","","","","","","","","","","","",""
"Id5+","3205","45070","02038","0705128","10","070500","829","","4757","2276","01265","0512657","12","04","08","−036","086"
"Id10+","7693","34120","06481","0705374","12","070498","1088","","4656","2027","01391","0512664","20","05","08","−029","099"
"Id17+","4590","42140","03125","0705366","12","070517","600","","5189","2238","01404","0512608","12","−06","−03","−029","113"
"Id1c+","3072","43360","02044","0705970","11","070485","1036","","6187","2416","01550","0512628","9","−02","00","−021","136"
"Is4+","4882","37310","03761","0705379","13","070515","765","","4687","2146","01322","0512616","13","−04","−01","−033","100"
"Id11+","6550","43310","04342","0705224","12","070496","786","","4602","2128","01309","0512660","13","04","08","−034","090"
