"","","Granites","","","","","","","","","","","Basementrocks-Gneisses","","","","","-Amphibolites",""
"PR-7","PR-3","PR-4","P-14","PA-15","TI-1","TI-3","TI-4","TI-6","IKR-","IKR-","IKR-","NX-17","PR-6","SER93-","SER93-","SER92-","AverageParos","SER93-","NX-"
"","","","","","","","","","1","2","3","","","52","50","28","(n=21)","20","13"
"707","712","685","7044","7804","762","711","721","738","750","733","748","7817","71907","788","711","692","706","484","468"
"048","033","060","031","007","011","044","043","020","027","025","022","005","0485","011","064","0399","048","115","22"
"155","156","162","1583","1287","133","145","142","137","127","146","133","1186","14647","119","136","158","147","19","153"
"262","225","337","194","071","105","263","265","158","180","149","152","112","3221","141","425","34","33","108","1328"
"002","003","033","004","002","007","005","004","007","003","002","004","004","005","0","006","009","006","017","018"
"079","070","107","037","008","027","098","097","061","071","065","045","021","104","012","17","08","110","334","635"
"260","208","294","227","086","113","298","277","203","159","173","171","064","1467","08","352","226","153","1224","1082"
"307","425","324","447","324","344","349","281","318","260","355","269","281","3369","413","327","516","364","314","238"
"421","256","343","415","436","430","389","342","378","427","373","448","463","3031","247","153","3026","352","111","197"
"014","011","018","009","003","005","011","010","006","007","010","005","003","0194","0023","01","0077","0191","017","021"
"048","065","052","051","044","034","036","040","049","033","034","034","07","092","025","05","032","085","04","063"
"10016","9982","9958","9990","10027","1003","1005","999","995","994","997","996","10026","99411","100013","1003","1005","9997","9992","1002"
"6","3","6","6","11","3","10","6","7","1","4","4","44","87","5","17","16","85","28","37"
"21","20","20","13","8","8","34","27","17","18","25","13","9","425","160","99","63","41","268","271"
"<1","<1","<1","4","1","7","6","6","5","4","5","9","3","95","180","43","47","23","35","130"
"33","43","42","2","<2","39","46","42","45","37","37","58","44","63","03","12","6","85","24","57"
"<1","<1","1","0","0","2","3","<1","1","4","3","<1","<1","35","<1","8","0","5","23","70"
"<1","<1","4","<2","<2","<2","1","<1","12","<2","<2","<2","<2","<2","<4","5","10","4","16","32"
"49","60","67","43","39","23","38","37","24","33","28","24","46","718","1500","25","34","61","55","166"
"19","23","24","22","15","20","17","18","20","24","18","17","18","204","1100","15","15","20","20","22"
"170","127","151","190","164","317","158","169","276","196","179","232","184","1014","5400","54","95","123","43","80"
"367","254","412","253","43","74","310","302","228","238","198","163","412","1477","127","145","88","141","357","159"
"15","18","16","9","55","51","27","22","38","18","24","34","44","188","42","31","24","23","37","60"
"315","203","346","179","49","81","184","200","105","136","128","108","233","1845","119","194","142","166","180","119"
"10","13","11","10","8","47","17","16","30","9","14","15","30","122","7","9","4","12","8","26"
"992","422","875","552","110","143","526","500","506","436","292","305","564","6596","522","287","345","692","203","130"
"34","21","31","21","13","11","19","19","14","18","24","19","338","25","476","21","207","232","16","30"
"62","42","59","37","33","24","34","40","24","34","44","33","743","473","745","39","382","47","39","43"
"23","18","19","12","15","11","12","17","8","12","20","13","341","21","324","25","177","17","237","31"
"20","13","17","11","9","22","13","10","17","10","17","18","182","109","15","83","11","11","1","4"
"109","116","113","099","111","108","095","107","105","108","112","108","110","128","109","102","100","117","067","060"
