"Gd","184","145","366","151","241","185","","191","","056","310","068","697","457","109","457"
"Tb","032","027","063","026","040","029","","032","","011","051","013","101","067","021","065"
"Dy","220","181","439","173","251","190","","202","","072","345","096","595","389","136","384"
"Ho","047","041","096","036","054","040","","043","","016","077","021","120","078","031","081"
"Er","127","108","266","098","148","107","","116","","039","217","056","315","211","082","229"
"Tm","019","016","041","014","022","016","","018","","006","033","009","042","030","012","033"
"Yb","122","098","268","089","142","098","","113","","033","223","057","266","196","075","219"
"Lu","018","014","039","013","020","015","","017","","005","035","009","038","029","012","032"
"Hf","042","047","091","054","077","045","","062","","005","045","005","200","193","005","107"
"Ta","0023","0011","0040","0041","0128","","0027","0015","","0123","0046","0019","1076","0263","0018","0230"
"W","015","171","016","017","029","090","","027","","019","014","024","054","022","027","015"
"Pb","118","101","192","087","269","117","","220","","027","161","054","369","672","103","434"
"Th","0074","0014","0021","0030","0141","","0005","0030","","0003","0133","0035","3926","0091","0000","0867"
"U","0020","0005","0005","0013","0048","","0004","0016","","0004","0035","0039","1062","0088","0019","0388"
"Sample","SN3","SO5","SO9","SO18","SY117","SHT15","SHT18","","SO102","SY41","SO21","SO22","SO24","SO28","Sb38","SO52"
"Complex","TheIratsubody","","","","","","MarginalzoneoftheIratsubody","","","","Surroundingschist","","","","",""
"LAT(°N)a","338946","338788","338845","338860","338953","338770","338777","","338717","338970","339001","339003","339010","338999","338720","339070"
"LNG(°E)a","1334038","1333865","1333831","1333769","1334041","1333895","1333890","","1334305","1333794","1333836","1333843","1333865","1333869","1334179","1334136"
"Lithology","EC","GAM","GAM","GCP","GAM","QEC","QEC","","PG","PG","MS","MS","MS","MS","PS","PS"
"T(°C)b","650","","","695","","","","","","","","","","","",""
"(wt%)","","","","","","","","","","","","","","","",""
"SiO2","4487","4135","4973","4137","4479","6442","5189","","6488","6435","4836","4666","4326","4678","6431","6771"
"TiO2","142","106","147","137","080","050","052","","071","070","188","119","100","232","063","059"
"Al2O3","1818","2149","1814","1693","1989","1388","1366","","1499","1715","1636","1767","1248","1498","1614","1561"
"⁎","","","","","","","","","","","","","","","",""
"Fe2O3","1656","1305","1022","1779","1304","834","1082","","624","638","1136","1199","1081","1314","540","545"
"MnO","022","016","030","026","022","014","020","","013","013","015","018","019","018","011","018"
"MgO","584","502","595","823","630","354","1012","","278","194","526","410","1108","813","195","185"
"CaO","1108","1277","640","1434","1250","496","881","","269","080","1128","1226","1164","882","265","037"
"Na2O","204","249","345","054","214","176","226","","228","140","254","285","279","176","241","200"
"K2O","003","014","216","ld","010","103","068","","243","335","056","101","015","059","278","338"
"P2O5","032","061","043","004","005","010","009","","016","009","021","015","010","023","015","011"
"LOI","049","149","137","024","105","066","044","","317","359","114","123","706","269","350","281"
"Total","10104","9963","9963","10111","10088","9934","9948","","10044","9986","9910","9928","10056","9963","10002","10005"
"(ppm)","","","","","","","","","","","","","","","",""
"Sc","369","243","290","472","447","381","420","","284","309","316","381","261","394","291","331"
"V","416","237","135","676","322","141","253","","77","85","237","234","145","282","83","70"
"Cr","51","157","1125","237","161","483","3886","","1027","594","834","4847","6166","674","492","415"
"Co","371","275","295","452","389","174","395","","138","115","413","474","544","435","108","119"
"Ni","98","160","1143","127","151","208","1000","","674","264","508","2031","3797","404","227","269"
"Cu","608","422","278","808","760","270","293","","219","322","747","254","134","699","364","407"
"Zn","109","112","105","98","92","86","80","","70","113","92","372","83","91","73","78"
"Ga","207","218","201","174","198","127","135","","175","207","192","159","132","194","183","190"
"Rb","055","142","6641","037","074","1327","965","","9740","1336","986","1749","268","1712","1072","1433"
