"Partition coefﬁcient","La","Sm","Zr","Ti","Reference"
"Olivine","0","0.00044","0","0.01","Zanetti et al. (2004)"
"Orthopyroxene","0","0.022","0.02","0.12","Frei et al. (2009)"
"Clinopyroxene","0.051","0.33","0.16","0.36","Hauri et al. (1994)"
"Plagioclasea","0.21","0.12","0.002","0.058","Bindeman et al. (1998)"
"Magnetite","0","0.0072","0.046","14.5","Nielsen and Beard (2000)"
