"","","SevatturSyenite","","","","","","","","","Highsilicarocks"
"SampleNo","Se-1","Se-2","Se-3","Se-4","Se-5","Se-6","Se-7","Se-8","Se-9","Se-hl","Se-h2"
"Majorelements(wt%):","","","","","","","","","","",""
"SiO,","5127","5925","5113","5617","5639","5257","5228","5277","5408","7088","7101"
"TiO,","113","063","107","080","075","115","121","110","087","014","014"
"A1203","1685","1785","1628","1726","1726","1597","1680","1588","1669","1536","1493"
"Fe203","549","227","577","392","378","503","528","425","419","114","095"
"FeO","314","180","400","226","215","399","378","396","317","032","039"
"MnO","019","013","019","016","021","021","021","018","017","014","012"
"MgO","307","109","361","166","159","322","301","304","229","015","016"
"CaO","781","338","783","539","518","735","830","688","592","157","161"
"Na,O","437","553","416","473","482","389","440","400","381","528","528"
"K,O","406","617","361","563","532","436","341","507","590","410","401"
"P20,","059","018","069","033","037","063","056","062","043","004","004"
"LOI","057","062","062","075","067","046","067","057","052","021","025"
"Total","9854","9890","9897","9906","9848","9884","9991","9833","9803","9933","9890"
"K,O/Na,O","093","112","087","119","110","112","078","127","155","078","076"
"Fe,03/Fe0","175","126","144","173","176","126","140","107","132","356","245"
"(Na+K)/Al","074","098","071","090","088","077","069","085","087","090","092"
"Traceelements(ppm):","","","","","","","","","","",""
"Ba","3055","1733","2765","2102","2694","3624","2982","2742","5014","1515","1456"
"Cr","18","10","18","9","5","11","21","14","18","3","3"
"Nb","24","39","7","17","21","24","29","26","22","47","45"
"Ni","5","5","8","4","1","5","7","6","6","nd","nd"
"Rb","76","207","74","139","133","117","57","89","109","107","103"
"Sr","2323","976","1958","1400","1346","2064","2321","1971","2291","565","560"
"V","201","83","221","136","133","229","205","201","164","16","11"
"Y","28","25","19","21","28","25","33","26","24","13","13"
"Zr","145","272","101","184","112","136","143","142","136","133","143"
"Nd","55","41","43","35","45","48","64","51","47","14","14"
"Sm","101","68","78","61","79","84","118","94","85","22","21"
