"","","TRLuniCL","","TRLuniSL"
"IsolationRate","","","",""
"","TPR","FPR","TPR","FPR"
"1%","08%","10%","936%","006%"
"5%","243%","48%","996%","40%"
"10%","322%","98%","998%","91%"
"20%","436%","197%","998%","192%"
