"","","","","","Attack","",""
"Dataset","","","","dyn","","TRLfunCL",""
"","","TRLfun","SLTRLuni","SLSLTRL","","",""
"","","","","","SimCLR","","BYOLMoCo"
"","ASR(%)","667","315","992","983","615","891"
"CIFAR10","","","","","","",""
"","ACC(%)","821","814","812","821","856","817"
"","ASR(%)","997","837","964","981","825","888"
"CIFAR100","","","","","","",""
"","ACC(%)","514","483","501","442","545","467"
"","ASR(%)","984","842","982","424","451","481"
"ImageNet100","","","","","","",""
"","ACC(%)","523","527","553","478","494","443"
