"","","","TriggerSize","",""
"CLMethod","","","","",""
"","1","5","10","15","20"
"SimCLR","98%","570%","01%","00","00"
"BYOL","107%","346%","656%","201%","03%"
"MoCo","97%","456%","643%","181%","08%"
