"","","TRLfunCL","","TRLfunSL"
"IsolationRate","","","",""
"","TPR","FPR","TPR","FPR"
"1%","24%","099%","928%","007%"
"5%","396%","48%","994%","41%"
"10%","560%","95%","998%","91%"
"20%","636%","196%","998%","192%"
