"","","TPR","",""
"FPR","","","",""
"","TRLfunCL","TRLfunSL","TRLuniCL","TRLuniSL"
"05%","280%","630%","284%","515%"
"10%","280%","665%","633%","718%"
"20%","280%","680%","767%","855%"
