"Pb","26","31","239","272","388","234","37","23","28","18","22","1474","1049","31","308","645","948","1165","634","756","852"
"Th","204","184","157","159","119","117","29","18","19","17","19","1111","1046","203","217","915","1016","1195","841","1515","704"
"U","047","048","038","039","032","031","069","040","051","034","043","135","134","053","054","177","177","19","19","221","109"
"Sc","23","23","23","23","25","24","22","23","24","24","24","30","29","26","25","89","27","22","23","24","20"
"Co","40","40","39","39","39","34","52","54","56","70","35","26","26","40","38","30","30","27","46","22","28"
"Cu","47","46","49","54","53","39","48","52","76","67","44","16","13","39","38","28","29","66","37","248","36"
"Ga","20","20","19","20","18","18","22","19","15","14","18","19","18","18","18","19","19","18","19","16","17"
"Sb","008","012","011","011","047","081","009","006","008","003","008","012","011","017","015","03","014","033","024","021","015"
"Sn","097","101","082","086","068","072","15","082","082","067","076","221","218","088","08","182","251","437","204","191","125"
"La","11","10","9","10","8","8","14","82","83","8","88","28","26","12","12","27","38","40","36","40","30"
"Ce","25","22","20","22","18","18","32","19","18","17","20","62","59","27","27","72","78","82","78","77","66"
"Pr","3","25","23","24","23","23","39","22","22","21","26","82","75","32","33","11","99","97","96","92","79"
"Nd","14","12","11","12","10","10","18","10","97","97","11","35","33","14","14","52","39","37","39","40","32"
"Sm","35","31","3","31","26","26","45","28","24","26","28","74","71","32","33","14","8","69","81","75","64"
"Eu","11","11","12","12","094","091","15","098","089","088","092","18","18","1","11","31","2","171","212","22","173"
"Gd","42","37","36","38","3","3","53","35","28","31","32","7","67","37","37","14","73","61","76","7","61"
"Tb","079","072","071","072","055","056","086","060","049","052","059","12","12","066","069","23","12","081","099","078","082"
"Dy","45","4","4","41","3","3","53","37","29","31","33","63","6","37","38","13","61","502","617","6","531"
"Ho","086","074","075","078","058","057","098","070","055","057","061","12","116","07","07","23","11","095","115","102","1"
"Er","26","23","23","23","17","17","29","21","16","17","18","36","34","21","21","66","32","267","314","302","286"
"Tm","037","032","032","033","024","025","038","031","024","023","024","049","049","029","031","091","043","036","044","041","04"
"Yb","23","2","2","21","15","16","25","19","15","14","16","34","32","19","19","55","29","245","281","24","269"
"Lu","032","028","028","029","021","021","035","027","021","020","023","047","046","025","026","079","042","035","04","043","039"
"Mg#","499","476","498","4818","5697","5383","3825","512","543","6685","6594","524","528","556","559","605","557","592","567","605","5668"
