"Table 1 Major and trace element concentrations for Sangmelima granitoids: major elements are in weight per cent but for K which like trace elements is in parts per mil (ppm)","","","","","","","","","",""
"","2","3","4","5","6","7","8","9","10","11"
"S107","S07","S40","S101","S06","S152","S10","S03","S83","S01","S05"
"53.6","54.1","54.6","54.8","54.9","56.1","56.3","57.4","58.7","59.5","59.9"
"0.9","0.8","1","0.74","0.89","0.49","0.72","1.3","0.54","0.63","0.54"
"15.2","18.1","16.7","18","16.5","19.5","13.7","16.8","15","16.5","16.9"
"11.9","8.6","10.6","8.7","8.7","6.7","9.8","9.8","8.9","7","6.3"
"0.14","0.12","0.2","0.12","0.12","0.11","0.12","0.12","0.14","0.11","0.09"
"4.5","4","6.6","3.7","4.1","4.3","4.8","2.6","4.9","3.5","3.1"
"8.1","7.7","5","7.4","6.4","8.5","10.8","6.3","7.6","6.4","5.8"
"3.4","4.5","3","4.5","3.7","3.6","2.6","4.4","3","4","4.5"
"1.7","1.2","1.6","1.14","2.2","0.78","0.52","0.93","1.2","1.8","1.7"
"0.42","0.3","0.11","0.29","0.42","0.19","0.1","0.25","0.1","0.26","0.22"
"0.15","0.41","0.6","0.46","0.72","0.62","0.16","0.1","0.04","0.41","0.57"
"99.9","99.9","100.2","99.8","98.9","100.9","99.8","100.2","100.1","100.4","99.7"
"5.1","5.7","4.6","5.5","5.9","4.4","3.2","5.3","4.2","5.8","6.2"
"","3.8","1.9","3.8","1.7","4.6","5.1","4.7","2.5","2.2","2.6"
"1.5","1.5","1.1","1.5","1.4","0.9","0.9","1.2","1.1","1.6","1.8"
"0.69","0.8","1.1","0.82","0.82","0.88","0.56","0.86","0.75","0.82","0.86"
"42","48","55","46","48","56","49","35","52","50","49"
"","659","626","","1197","","129","479","","1760","1058"
"","52","157","","50","","139","239","","91","38"
"","9,819","13,479","","18,111","","4,283","7,736","","15,073","14,309"
"","4","6","","6","","15","7","","2","2"
"","37","66","","24","","66","18","","31","20"
"","23","93","","77","","9","14","","31","34"
"","460","56","","647","","351","452","","627","628"
"","145","289","","203","","234","139","","128","104"
"","16","28","","21","","16","22","","14","14"
"","93","114","","102","","74","108","","73","69"
"","130","79","","179","","48","196","","143","169"
