"2","3","4","5","6","7","8","9","10"
"S24","S104","S34","S30","S29","S37","S22","S140b","S28"
"667","679","683","708","725","727","729","731","732"
"028","022","019","025","029","014","015","007","02"
"162","164","149","138","138","149","143","145","144"
"29","3","35","3","23","16","11","15","16"
"002","003","005","003","002","006","002","001","003"
"06","056","27","009","041","082","026","001","047"
"2","22","16","08","16","19","08","09","19"
"3","33","3","34","31","34","32","34","37"
"67","53","5","64","46","41","66","55","4"
"026","018","005","004","007","004","013","007","006"
"079","046","031","046","073","051","035","042","037"
"995","996","996","991","994","100","998","995","998"
"97","87","8","97","77","74","98","89","77"
"22","16","17","19","15","12","21","16","11"
"26","29","31","78","34","29","85","72","32"
"103","108","112","1","107","112","104","113","104"
"29","27","61","6","26","50","31","1","37"
"6052","","2637","126","1359","2032","866","","1514"
"0","","7","0","0","6","0","","5"
"55,610","44,239","41,666","52,954","38,014","33,615","54,697","45,484","33,034"
"2","","3","5","3","4","2","","3"
"8","","23","3","9","10","3","","10"
"128","","90","555","129","68","322","","152"
"414","","235","57","169","189","196","","312"
"50","","38","5","24","9","7","","20"
"13","","4","26","14","16","24","","13"
"27","","57","25","29","16","19","","30"
"179","","126","22","217","118","23","","153"
"traceelementsconcentrationsareinppm(–)notdetermined","","","","","","","",""
