"21","22","Tonalitic","2","3","4","5","6","7","8"
"","","TTG","","","","","","",""
"S138a","S12","S49","C39","S15","S171","C24b","S14","S13","S50"
"679","701","577","584","611","614","623","636","672","676"
"035","045","069","063","062","056","06","048","04","028"
"154","152","174","179","185","189","179","167","168","164"
"54","39","74","72","44","5","55","45","28","31"
"008","005","022","012","006","007","008","008","003","004"
"14","01","33","29","21","23","26","24","15","14"
"78","39","59","62","52","6","56","39","35","46"
"17","44","44","41","46","51","42","56","46","46"
"089","092","14","12","16","05","15","11","15","069"
"008","014","015","015","022","013","018","016","01","007"
"004","031","069","081","18","052","041","13","15","076"
"1007","1004","994","998","1003","1004","1009","100","1001","996"
"26","52","58","53","62","56","57","67","61","53"
"19","47","32","33","29","96","28","49","31","67"
"05","19","16","13","16","17","15","27","23","17"
"086","099","09","093","099","095","096","096","11","099"
"34","32","47","44","48","48","49","51","51","47"
"","305","462","","464","","","458","425","294"
"","0","57","","29","","","50","3","16"
"","7,669","11,539","","13,379","","","9,412","12,417","5,702"
"","6","10","","1","","","3","4","–"
"","5","44","","32","","","49","16","21"
"","21","67","","50","","","22","41","9"
"","269","195","","329","","","437","714","529"
"","26","130","","68","","","42","50","46"
"","10","28","","8","","","21","2","3"
"","65","86","","48","","","70","57","39"
"","342","152","","172","","","134","104","174"
