"Methods","gaus","shot","impul","defcsm","gls","mtn","zm","snw","frst","fg","brt","cnt","els","px","jpg","Avg"
"Source","359","335","566","361","453","357","334","372","361","507","291","396","373","479","282","395"
"NORM","373","361","466","301","426","320","303","373","363","454","289","329","375","349","384","364"
"TENT","380","363","385","308","424","333","309","361","356","375","303","369","390","342","386","358"
"Ours","352","347","363","299","398","329","295","340","340","353","286","308","365","330","359","337"
"Methods","gaus","shot","impul","defcsm","gls","mtn","zm","snw","frst","fg","brt","cnt","els","px","jpg","Avg"
"Source","657","601","591","320","510","356","324","414","452","514","316","555","403","597","424","468"
"NORM","443","440","473","321","459","329","330","384","379","454","299","365","306","367","441","393"
"TENT","403","399","418","298","423","310","300","345","352","395","280","339","384","334","414","360"
"DUA","422","409","410","305","448","322","299","389","372","436","295","392","290","353","412","376"
"Ours","389","384","401","291","410","300","293","335","342","373","272","319","368","318","391","346"
