"","Ni","","Cr","Zn","Co","Sc","Hf","Sr","Nd"
"olivine","","","0937′","109*","307*","0265′","0011′","0018′","0007′"
"clinopyroxene","","324*","71″","048*","106*","115+","016+","0095#","0191+"
"spinel","10–","","","450¤","500–","040¤","0003!","",""
